article name,year published,Author,Journal name
The era of artificial intelligence: talking about the potential application value of ChatGPT/GPT-4 in foot and ankle surgery,2024,"D Wang, Y He, Y Ma, H Wu, G Ni - The Journal of Foot and Ankle Surgery, 2024",jfas.org
Exploring opportunities and challenges of using ChatGPT in English language teaching (ELT) in Morocco,2024,"A Bekou, MB Mhamed, K Assissou - Focus on ELT Journal, 2024",focusonelt.com
[HTML][HTML] Comparison of the Performance of GPT-3.5 and GPT-4 With That of Medical Students on the Written German Medical Licensing Examination: Observational …,2024,"A Meyer, J Riese, T Streichert - JMIR Medical Education, 2024",mededu.jmir.org
Exploring the bioethical implications of using artificial intelligence in writing research proposals,2024,"S Shivananda, VG Doddawad, CS Vidya… - … in Clinical Research, 2024",journals.lww.com
[HTML][HTML] Using artificial intelligence in academic writing and research: An essential productivity tool,2024,"M Khalifa, M Albadawy - Computer Methods and Programs in Biomedicine …, 2024",Elsevier
Examining the user experience of artificial intelligence tools in academic writing: The perceptions lecturers practices,2024,"N Shofiah, ZF Putera - 2024",researchsquare.com
Towards Bridging The Ethical Gap In Using Artificial Intelligence Writing Tools In Academic And Research Writing,2024,"C Armstrong - International Journal of Global Community, 2024",journal.riksawan.com
[PDF][PDF] Use of Artificial Intelligence Tools for Research by Medical Students: A Narrative Review,2024,"KS Jhajj, P Jindal, K Kaur - Cureus, 2024",cureus.com
"[PDF][PDF] ENGL 102-006, 068: Introduction to Research Writing",2024,J FischlKruger - 2024,digitalcommons.njit.edu
THE EXPLORATION OF STUDENTSLITERACY AND ATTITUDE IN USING ARTIFICIAL INTELLIGENCE FOR WRITING THESIS,2024,AS Harsyah - 2024,repository.unja.ac.id
"ChatGPT Usage and Attitudes are Driven by Perceptions of Usefulness, Ease of Use, Risks, and Psycho-Social Impact: A Study among University Students in the UAE",2024,"M Sallam, W Elsayed, M Al-Shorbagy, M Barakat… - 2024",researchsquare.com
Generative Artificial Intelligence in Surgery: Balancing Innovation with Ethical Challenges,2024,"R Dhawan, A Nair, D Shay - Journal of Plastic, Reconstructive & …, 2024",jprasurg.com
An argumentation experience regarding concepts of calculus with ChatGPT,2024,"S Urhan, O Gençaslan, Ş Dost - Interactive Learning Environments, 2024",Taylor & Francis
The comparison of general tips for mathematical problem solving generated by generative AI with those generated by human teachers,2024,"J Jia, T Wang, Y Zhang, G Wang - Asia Pacific Journal of Education, 2024",Taylor & Francis
Chat GPT in Constructivist Language Pedagogy: Exploring Its Potential and Challenges in Legal Vocabulary Acquisition,2024,"MS Alam, A Asmawi - Applied Research on English Language, 2024",are.ui.ac.ir
Designing a course for pre-service science teachers using ChatGPT: what ChatGPT brings to the table,2024,"HZ Okulu, N Muslu - Interactive Learning Environments, 2024",Taylor & Francis
ENHANCING LEARNING POTENTIAL: INVESTIGATING MARKETING STUDENTS'BEHAVIORAL INTENTIONS TO ADOPT CHATGPT,2024,"A Gulati, H Saini, S Singh, V Kumar - Marketing Education Review, 2024",Taylor & Francis
ChatGPT is a promising tool to increase readability of orthopedic research consents,2024,"B Gill, J Bonamer, H Kuechly, R Gupta… - Journal of …, 2024",journals.sagepub.com
[HTML][HTML] Evaluation of ChatGPT in providing appropriate fracture prevention recommendations and medical science question responses: A quantitative research,2024,"J Meng, Z Zhang, H Tang, Y Xiao, P Liu, S Gao, M He - Medicine, 2024",journals.lww.com
Harnessing the open access version of ChatGPT for enhanced clinical opinions,2024,"ZM Tenner, MC Cottone, MR Chavez - PLOS Digital Health, 2024",journals.plos.org
"Knowledge, Perceptions and Attitude of Researchers Towards Using ChatGPT in Research",2024,"AS Abdelhafiz, A Ali, AM Maaly, HH Ziady… - Journal of Medical …, 2024",Springer
ChatGPT's Ability to Assist with Clinical Documentation: A Randomized Controlled Trial,2024,"HP Baker, E Dwyer, S Kalidoss, K Hynes… - JAAOS-Journal of the …, 2024",journals.lww.com
Applying ChatGPT to tackle the side effects of personal learning environments from learner and learning perspective: An interview of experts in higher education,2024,"XS Xu, XB Wang, YF Zhang, R Zheng - Plos one, 2024",journals.plos.org
